Rank,Country,Region,Population,Percentage,Date
147,Lesotho,Africa,2159000,0.03%,2022-07-21
148,Slovenia,Europe,2108977,0.03%,2022-04-21
149,NorthMacedonia,Europe,2068808,0.03%,2022-12-20
150,Latvia,Europe,1879700,0.02%,2022-10-21
151,Kosovo,Europe,1782115,0.02%,2022-12-19
152,Guinea-Bissau,Africa,1646077,0.02%,2022-07-21
153,Equatorial Guinea,Africa,1505588,0.02%,2022-07-21
154,Bahrain,Asia,1501635,0.02%,2022-03-20
155,Trinidad and Tobago,Americas,1367558,0.02%,2022-06-21
156,Estonia,Europe,1330068,0.02%,2022-01-21
157,EastTimor,Asia,1317780,0.02%,2022-07-21
158,Mauritius,Africa,1266334,0.02%,2022-06-21
159,Eswatini,Africa,1172000,0.01%,2022-07-21
160,Djibouti,Africa,976107,0.01%,2022-07-19
161,Fiji,Oceania,898402,0.01%,2022-07-21
162,Cyprus,Europe,888005,0.01%,2022-12-19
163,Comoros,Africa,758316,0.01%,2022-12-17
164,Bhutan,Asia,756129,0.01%,2022-07-21
165,Guyana,Americas,743699,0.01%,2022-07-19
166,Solomon Islands,Oceania,728041,0.01%,2022-07-21
167,Macau(China),Asia,682300,0.01%,2022-09-21
168,Luxembourg,Europe,634730,0.01%,2022-01-21
169,Montenegro,Europe,621306,0.01%,2022-07-20
170,WesternSahara,Africa,612000,0.01%,2022-07-21
171,Suriname,Americas,598000,0.01%,2022-07-19
172,CapeVerde,Africa,563198,0.01%,2022-07-21
173,Malta,Europe,514564,0.01%,2022-12-19
174,Transnistria,Europe,469000,0.01%,2022-01-18
175,Belize,Americas,430191,0.01%,2022-07-21
176,Brunei,Asia,429999,0.01%,2022-07-21
177,Bahamas,Americas,393450,0.00%,2022-07-21
178,Maldives,Asia,383135,0.00%,2022-12-19
179,Iceland,Europe,374830,0.00%,2022-09-21
180,NorthernCyprus,Asia,372486,0.00%,2022-12-18
181,Vanuatu,Oceania,301295,0.00%,2022-07-21
182,Barbados,Americas,288000,0.00%,2022-07-21
183,FrenchPolynesia(France),Oceania,279890,0.00%,2022-07-21
184,NewCaledonia(France),Oceania,273674,0.00%,2022-07-21
185,Abkhazia,Asia,245424,0.00%,2022-01-20
186,SãoToméandPríncipe,Africa,214610,0.00%,2022-07-21
187,Samoa,Oceania,199853,0.00%,2022-07-21
188,SaintLucia,Americas,178696,0.00%,2022-07-18
189,Guam(United States),Oceania,178306,0.00%,2022-07-21
190,Curaçao(Netherlands),Americas,153671,0.00%,2022-01-21
191,RepublicofArtsakh,Asia,148900,0.00%,2022-01-21
192,Kiribati,Oceania,120740,0.00%,2022-07-21
193,Grenada,Americas,113000,0.00%,2022-07-21
194,Aruba(Netherlands),Americas,111050,0.00%,2022-12-20
195,SaintVincentandtheGrenadines,Americas,110696,0.00%,2022-07-20
196,Jersey(British Crown Dependency),Europe,107800,0.00%,2022-12-19
197,Micronesia,Oceania,105754,0.00%,2022-07-21
198,U.S.VirginIslands(United States),Americas,104000,0.00%,2022-07-21
199,Tonga,Oceania,99532,0.00%,2022-07-21
200,AntiguaandBarbuda,Americas,99337,0.00%,2022-07-21
201,Seychelles,Africa,99202,0.00%,2022-06-21
202,IsleofMan(British Crown Dependency),Europe,85000,0.00%,2022-07-21
203,Andorra,Europe,78015,0.00%,2022-12-20
