Rank,Country,Region,Population,Percentage,Date
115,Congo,Africa,5657000,0.07%,21/07/2022
116,CentralAfricanRepublic,Africa,5633412,0.07%,20/07/2022
117,Finland,Europe,5517780,0.07%,21/10/2022
118,Slovakia,Europe,5459781,0.07%,20/12/2022
119,Singapore,Asia,5453600,0.07%,21/06/2022
120,Norway,Europe,5415166,0.07%,21/10/2022
121,Palestine,Asia,5227193,0.07%,21/07/2022
122,CostaRica,Americas,5163038,0.07%,21/06/2022
123,NewZealand,Oceania,5134950,0.06%,21/12/2022
124,Ireland,Europe,5011500,0.06%,21/04/2022
125,Kuwait,Asia,4670713,0.06%,20/12/2022
126,Liberia,Africa,4661010,0.06%,21/07/2022
127,Oman,Asia,4447408,0.06%,21/10/2022
128,Panama,Americas,4278500,0.05%,20/07/2022
129,Mauritania,Africa,4271197,0.05%,21/07/2022
130,Croatia,Europe,4036355,0.05%,20/12/2022
131,Georgia,Asia,3728573,0.05%,21/01/2022
132,Eritrea,Africa,3601000,0.05%,21/07/2022
133,Uruguay,Americas,3554915,0.04%,21/06/2022
134,Mongolia,Asia,3414831,0.04%,21/12/2022
135,BosniaandHerzegovina,Europe,3320954,0.04%,20/07/2022
136,PuertoRico(United States),Americas,3285874,0.04%,20/04/2022
137,Armenia,Asia,2963900,0.04%,21/03/2022
138,Albania,Europe,2829741,0.04%,21/01/2022
139,Qatar,Asia,2799202,0.04%,19/07/2022
140,Lithuania,Europe,2777991,0.04%,21/11/2022
141,Jamaica,Americas,2734093,0.03%,19/12/2022
142,Moldova,Europe,2597100,0.03%,21/01/2022
143,Namibia,Africa,2550226,0.03%,21/07/2022
144,Gambia,Africa,2487000,0.03%,21/07/2022
145,Botswana,Africa,2410338,0.03%,21/07/2022
146,Gabon,Africa,2233272,0.03%,21/07/2022
147,Lesotho,Africa,2159000,0.03%,21/07/2022
148,Slovenia,Europe,2108977,0.03%,21/04/2022
149,NorthMacedonia,Europe,2068808,0.03%,20/12/2022
150,Latvia,Europe,1879700,0.02%,21/10/2022
151,Kosovo,Europe,1782115,0.02%,19/12/2022
152,Guinea-Bissau,Africa,1646077,0.02%,21/07/2022
153,Equatorial Guinea,Africa,1505588,0.02%,21/07/2022
154,Bahrain,Asia,1501635,0.02%,20/03/2022
155,Trinidad and Tobago,Americas,1367558,0.02%,21/06/2022
156,Estonia,Europe,1330068,0.02%,21/01/2022
157,EastTimor,Asia,1317780,0.02%,21/07/2022
158,Mauritius,Africa,1266334,0.02%,21/06/2022
159,Eswatini,Africa,1172000,0.01%,21/07/2022
160,Djibouti,Africa,976107,0.01%,19/07/2022
161,Fiji,Oceania,898402,0.01%,21/07/2022
162,Cyprus,Europe,888005,0.01%,19/12/2022
163,Comoros,Africa,758316,0.01%,17/12/2022
164,Bhutan,Asia,756129,0.01%,21/07/2022
165,Guyana,Americas,743699,0.01%,19/07/2022
166,Solomon Islands,Oceania,728041,0.01%,21/07/2022
167,Macau(China),Asia,682300,0.01%,21/09/2022
168,Luxembourg,Europe,634730,0.01%,21/01/2022
169,Montenegro,Europe,621306,0.01%,20/07/2022
170,WesternSahara,Africa,612000,0.01%,21/07/2022
171,Suriname,Americas,598000,0.01%,19/07/2022
